loc	GRCh38.p13-Dombi-23_ATAC_2.samtools-coordinate	GRCh38.p13-Dombi-23_ATAC_1.samtools-coordinate	GRCh38.p13-PKC19_ATAC_4.samtools-coordinate	GRCh38.p13-PKC19_ATAC_1.samtools-coordinate	GRCh38.p13-PKC19_ATAC_2.samtools-coordinate	GRCh38.p13-PKC19_ATAC_3.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_4.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_1.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_2.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_3.samtools-coordinate	GRCh38.p13-GSM4728093.samtools-coordinate	GRCh38.p13-GSM4728094.samtools-coordinate
1:976127-976327	3.0	9.0	30.0	35.0	37.0	54.0	16.0	22.0	24.0	90.0	25.0	203.0
1:976456-976656	4.0	7.0	19.0	24.0	31.0	22.0	21.0	10.0	11.0	47.0	13.0	178.0
1:984221-984421	0.0	6.0	7.0	20.0	15.0	16.0	12.0	5.0	8.0	46.0	4.0	54.0
1:995869-996069	0.0	2.0	4.0	6.0	7.0	3.0	8.0	5.0	1.0	63.0	6.0	59.0
1:1000069-1000269	5.0	13.0	42.0	53.0	52.0	66.0	28.0	21.0	25.0	104.0	26.0	180.0
1:1000105-1000305	4.0	13.0	43.0	53.0	52.0	60.0	28.0	18.0	26.0	95.0	25.0	197.0
1:1000425-1000625	0.0	12.0	18.0	35.0	28.0	33.0	17.0	9.0	11.0	35.0	19.0	129.0
1:1000754-1000954	0.0	13.0	36.0	55.0	32.0	36.0	22.0	10.0	24.0	79.0	18.0	122.0
1:1000759-1000959	0.0	13.0	36.0	53.0	32.0	36.0	22.0	10.0	24.0	79.0	17.0	121.0
1:1001871-1002071	2.0	10.0	16.0	35.0	12.0	33.0	12.0	16.0	20.0	36.0	7.0	129.0
1:1006681-1006881	0.0	4.0	12.0	14.0	16.0	19.0	17.0	4.0	5.0	16.0	2.0	61.0
1:1006968-1007168	0.0	3.0	17.0	15.0	17.0	10.0	6.0	4.0	2.0	39.0	0.0	36.0
1:1013348-1013548	6.0	10.0	32.0	30.0	49.0	34.0	28.0	16.0	31.0	111.0	10.0	159.0
1:1013364-1013564	6.0	9.0	32.0	30.0	50.0	33.0	29.0	15.0	32.0	111.0	10.0	160.0
1:1013855-1014055	0.0	3.0	4.0	14.0	17.0	3.0	3.0	8.0	5.0	19.0	2.0	34.0
1:1019397-1019597	3.0	11.0	21.0	41.0	40.0	52.0	32.0	19.0	30.0	76.0	33.0	230.0
1:1019444-1019644	2.0	11.0	21.0	37.0	35.0	43.0	28.0	23.0	32.0	70.0	34.0	239.0
1:1020068-1020268	3.0	15.0	17.0	38.0	6.0	29.0	8.0	16.0	21.0	26.0	13.0	82.0
1:1021572-1021772	8.0	10.0	23.0	42.0	33.0	31.0	27.0	18.0	19.0	60.0	22.0	157.0
1:1024703-1024903	5.0	8.0	30.0	59.0	38.0	28.0	37.0	15.0	24.0	92.0	32.0	238.0
1:1024718-1024918	5.0	8.0	30.0	59.0	36.0	26.0	34.0	14.0	24.0	90.0	31.0	235.0
1:1033111-1033311	0.0	16.0	12.0	33.0	26.0	33.0	31.0	25.0	42.0	110.0	44.0	257.0
1:1033119-1033319	0.0	15.0	12.0	33.0	26.0	35.0	31.0	26.0	40.0	109.0	46.0	259.0
1:1040705-1040905	6.0	13.0	27.0	33.0	26.0	33.0	46.0	16.0	30.0	118.0	35.0	263.0
1:1040746-1040946	5.0	13.0	30.0	30.0	31.0	42.0	45.0	19.0	26.0	128.0	42.0	260.0
1:1058937-1059137	0.0	7.0	9.0	18.0	15.0	8.0	10.0	10.0	8.0	40.0	6.0	72.0
1:1059549-1059749	5.0	13.0	28.0	47.0	27.0	32.0	10.0	19.0	24.0	83.0	10.0	157.0
1:1059551-1059751	5.0	13.0	28.0	47.0	27.0	32.0	10.0	19.0	24.0	83.0	10.0	157.0
1:1063845-1064045	2.0	2.0	9.0	30.0	29.0	25.0	17.0	8.0	9.0	48.0	6.0	99.0
1:1063963-1064163	1.0	2.0	6.0	24.0	35.0	17.0	13.0	8.0	9.0	46.0	14.0	131.0
1:1064200-1064400	0.0	4.0	10.0	28.0	29.0	15.0	17.0	9.0	17.0	89.0	18.0	169.0
1:1064247-1064447	0.0	5.0	7.0	23.0	30.0	13.0	14.0	10.0	14.0	68.0	17.0	147.0
1:1068663-1068863	0.0	4.0	9.0	30.0	10.0	22.0	8.0	0.0	8.0	35.0	17.0	149.0
1:1069227-1069427	0.0	14.0	17.0	60.0	30.0	37.0	29.0	16.0	36.0	83.0	17.0	150.0
1:1069242-1069442	0.0	14.0	17.0	63.0	31.0	38.0	31.0	15.0	37.0	82.0	18.0	156.0
1:1069921-1070121	0.0	5.0	9.0	23.0	19.0	11.0	19.0	2.0	8.0	15.0	11.0	94.0
1:1073802-1074002	2.0	6.0	9.0	23.0	25.0	17.0	30.0	3.0	13.0	24.0	29.0	198.0
1:1074198-1074398	0.0	5.0	35.0	37.0	39.0	29.0	24.0	6.0	11.0	38.0	15.0	158.0
1:1074225-1074425	0.0	5.0	34.0	39.0	37.0	29.0	20.0	6.0	11.0	40.0	15.0	150.0
1:1074425-1074625	0.0	8.0	12.0	31.0	23.0	20.0	10.0	2.0	11.0	19.0	7.0	75.0
1:1079511-1079711	4.0	6.0	30.0	56.0	48.0	42.0	43.0	12.0	25.0	120.0	22.0	239.0
1:1079559-1079759	4.0	10.0	35.0	52.0	44.0	44.0	37.0	13.0	23.0	130.0	24.0	246.0
1:1079885-1080085	2.0	6.0	15.0	28.0	32.0	16.0	18.0	21.0	23.0	39.0	18.0	193.0
1:1080074-1080274	0.0	3.0	15.0	26.0	16.0	18.0	13.0	18.0	9.0	35.0	19.0	146.0
1:1091791-1091991	0.0	1.0	5.0	8.0	4.0	2.0	1.0	2.0	5.0	12.0	2.0	25.0
1:1104248-1104448	0.0	3.0	0.0	8.0	5.0	2.0	8.0	2.0	1.0	2.0	2.0	33.0
1:1109809-1110009	0.0	0.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	8.0	4.0	33.0
1:1116113-1116313	4.0	19.0	36.0	66.0	51.0	67.0	28.0	31.0	45.0	159.0	64.0	309.0
1:1116217-1116417	4.0	24.0	28.0	71.0	48.0	52.0	36.0	36.0	42.0	139.0	63.0	346.0
1:1122193-1122393	6.0	15.0	16.0	42.0	27.0	25.0	20.0	16.0	26.0	65.0	14.0	92.0
